Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
17,17,11/19/17,20-023,LAL,,DEN,W (+18),1,39:54:00,5,13,0.385,1,4,0.25,0,0,,3,13,16,11,0,2,2,4,11,15.4,29
18,18,11/21/17,20-025,LAL,,CHI,W (+9),1,32:00:00,3,13,0.231,2,8,0.25,0,0,,3,10,13,4,1,0,1,3,8,6.8,14
19,19,11/22/17,20-026,LAL,@,SAC,L (-11),1,37:16:00,4,8,0.5,3,5,0.6,0,2,0,0,7,7,11,1,0,4,2,11,12.2,-1
20,20,11/27/17,20-031,LAL,@,LAC,L (-5),1,26:17:00,1,7,0.143,1,6,0.167,0,0,,2,3,5,7,1,0,3,4,3,2.1,-12
21,21,11/29/17,20-033,LAL,,GSW,L (-4),1,43:20:00,5,12,0.417,3,7,0.429,2,2,1,1,1,2,10,1,0,2,2,15,14.8,-8
22,22,12/2/17,20-036,LAL,@,DEN,L (-15),1,33:22:00,4,10,0.4,1,4,0.25,0,0,,4,5,9,5,2,0,5,3,9,7.2,-15
23,23,12/3/17,20-037,LAL,,HOU,L (-23),1,22:02,0,4,0,0,3,0,2,2,1,0,1,1,3,0,2,3,1,2,-0.4,-9
24,24,12/7/17,20-041,LAL,@,PHI,W (+3),1,38:22:00,5,11,0.455,0,3,0,0,0,,2,6,8,8,3,4,0,0,10,18.9,7
25,25,12/9/17,20-043,LAL,@,CHO,W (+11),1,26:31:00,2,5,0.4,1,3,0.333,0,2,0,0,5,5,9,0,1,2,4,5,6.4,-6
26,26,12/12/17,20-046,LAL,@,NYK,L (-4),1,39:31:00,6,13,0.462,3,6,0.5,2,3,0.667,1,7,8,6,2,1,1,3,17,17.4,-11
27,27,12/14/17,20-048,LAL,@,CLE,L (-9),1,37:53:00,5,11,0.455,3,8,0.375,0,0,,1,7,8,11,2,0,6,3,13,12.6,-11
28,28,12/18/17,20-052,LAL,,GSW,L (-2),1,38:38:00,6,12,0.5,3,6,0.5,1,2,0.5,0,6,6,6,1,2,2,4,16,14.4,10
29,29,12/20/17,20-054,LAL,@,HOU,W (+6),1,38:02:00,5,14,0.357,2,8,0.25,4,7,0.571,0,9,9,4,1,2,5,2,16,9.1,6
30,30,12/22/17,20-056,LAL,@,GSW,L (-7),1,37:01:00,9,16,0.563,5,6,0.833,1,4,0.25,2,3,5,5,0,1,5,2,24,15.9,-13
31,31,12/23/17,20-057,LAL,,POR,L (-3),1,36:30:00,4,13,0.308,2,6,0.333,0,0,,0,8,8,11,2,1,5,2,10,9.5,8
32,,12/25/17,20-059,LAL,,MIN,L (-17),Inactive,,,,,,,,,,,,,,,,,,,,,
33,,12/27/17,20-061,LAL,,MEM,L (-10),Inactive,,,,,,,,,,,,,,,,,,,,,
34,,12/29/17,20-063,LAL,,LAC,L (-15),Inactive,,,,,,,,,,,,,,,,,,,,,
35,,12/31/17,20-065,LAL,@,HOU,L (-6),Inactive,,,,,,,,,,,,,,,,,,,,,
36,,1/1/18,20-066,LAL,@,MIN,L (-18),Inactive,,,,,,,,,,,,,,,,,,,,,
37,,1/3/18,20-068,LAL,,OKC,L (-37),Inactive,,,,,,,,,,,,,,,,,,,,,
38,32,1/5/18,20-070,LAL,,CHO,L (-14),1,27:11:00,4,8,0.5,3,7,0.429,0,0,,0,4,4,5,2,0,1,2,11,11.9,-24
39,33,1/7/18,20-072,LAL,,ATL,W (+19),1,29:42:00,5,13,0.385,3,9,0.333,0,0,,2,8,10,6,1,0,2,4,13,11.3,11
40,34,1/9/18,20-074,LAL,,SAC,W (+13),1,36:42:00,2,10,0.2,1,7,0.143,0,0,,2,9,11,11,5,1,1,1,5,14.9,33
41,35,1/11/18,20-076,LAL,,SAS,W (+12),1,35:56:00,7,11,0.636,4,7,0.571,0,0,,4,6,10,6,4,0,5,1,18,20.5,17
42,36,1/13/18,20-078,LAL,@,DAL,W (+6),1,43:05:00,4,13,0.308,1,7,0.143,0,0,,1,6,7,7,1,0,0,1,9,9.5,7
43,,1/15/18,20-080,LAL,@,MEM,L (-9),Inactive,,,,,,,,,,,,,,,,,,,,,
44,,1/17/18,20-082,LAL,@,OKC,L (-24),Inactive,,,,,,,,,,,,,,,,,,,,,
45,,1/19/18,20-084,LAL,,IND,W (+13),Inactive,,,,,,,,,,,,,,,,,,,,,
46,,1/21/18,20-086,LAL,,NYK,W (+20),Inactive,,,,,,,,,,,,,,,,,,,,,
47,,1/23/18,20-088,LAL,,BOS,W (+1),Inactive,,,,,,,,,,,,,,,,,,,,,
48,,1/26/18,20-091,LAL,@,CHI,W (+5),Inactive,,,,,,,,,,,,,,,,,,,,,
49,,1/28/18,20-093,LAL,@,TOR,L (-12),Inactive,,,,,,,,,,,,,,,,,,,,,
50,,1/31/18,20-096,LAL,@,ORL,L (-22),Inactive,,,,,,,,,,,,,,,,,,,,,
51,,2/2/18,20-098,LAL,@,BRK,W (+3),Inactive,,,,,,,,,,,,,,,,,,,,,
52,,2/4/18,20-100,LAL,@,OKC,W (+4),Inactive,,,,,,,,,,,,,,,,,,,,,
53,,2/6/18,20-102,LAL,,PHO,W (+19),Inactive,,,,,,,,,,,,,,,,,,,,,
54,,2/8/18,20-104,LAL,,OKC,W (+25),Inactive,,,,,,,,,,,,,,,,,,,,,
55,,2/10/18,20-106,LAL,@,DAL,L (-7),Inactive,,,,,,,,,,,,,,,,,,,,,
56,,2/14/18,20-110,LAL,@,NOP,L (-22),Inactive,,,,,,,,,,,,,,,,,,,,,
57,,2/15/18,20-111,LAL,@,MIN,L (-8),Inactive,,,,,,,,,,,,,,,,,,,,,
58,37,2/23/18,20-119,LAL,,DAL,W (+22),0,17:23,3,8,0.375,3,6,0.5,0,0,,2,5,7,6,0,0,2,0,9,9.7,-6
59,,2/24/18,20-120,LAL,@,SAC,W (+5),Inactive,,,,,,,,,,,,,,,,,,,,,
60,38,2/26/18,20-122,LAL,@,ATL,W (+19),0,24:03:00,4,4,1,3,3,1,2,2,1,0,7,7,5,3,0,2,3,13,17.2,18
61,39,3/1/18,20-125,LAL,@,MIA,W (+18),1,33:50:00,3,5,0.6,2,3,0.667,0,1,0,1,5,6,7,6,0,2,4,8,14.8,24
62,40,3/3/18,20-127,LAL,@,SAS,W (+4),1,34:46:00,6,12,0.5,6,10,0.6,0,0,,0,7,7,11,1,2,2,4,18,20.6,8
63,41,3/5/18,20-129,LAL,,POR,L (-5),1,32:59:00,3,9,0.333,3,7,0.429,1,3,0.333,1,1,2,2,2,0,1,3,10,6.3,-7
64,42,3/7/18,20-131,LAL,,ORL,W (+1),1,37:11:00,6,16,0.375,4,13,0.308,0,0,,1,5,6,5,2,2,3,3,16,12.1,-10
65,43,3/9/18,20-133,LAL,@,DEN,L (-9),1,37:41:00,7,16,0.438,1,8,0.125,0,0,,3,5,8,8,4,1,4,2,15,15.7,-14
66,44,3/11/18,20-135,LAL,,CLE,W (+14),1,31:31:00,2,11,0.182,1,6,0.167,0,0,,0,3,3,7,1,0,0,2,5,4.1,-1
67,45,3/13/18,20-137,LAL,,DEN,W (+9),1,40:50:00,2,11,0.182,1,7,0.143,0,2,0,0,9,9,8,3,2,4,1,5,5.6,18
68,46,3/14/18,20-138,LAL,@,GSW,L (-11),1,38:49:00,3,11,0.273,1,8,0.125,1,3,0.333,2,4,6,11,3,1,3,4,8,10.1,-11
69,47,3/16/18,20-140,LAL,,MIA,L (-1),1,38:07:00,4,15,0.267,1,3,0.333,0,0,,3,5,8,8,2,1,3,0,9,9,1
70,48,3/19/18,20-143,LAL,@,IND,L (-10),1,37:22:00,1,4,0.25,1,4,0.25,1,2,0.5,0,2,2,8,2,0,4,1,4,5,-3
71,49,3/22/18,20-146,LAL,@,NOP,L (-3),1,44:09:00,2,15,0.133,1,12,0.083,1,2,0.5,1,11,12,9,1,2,3,4,6,4,-2
72,50,3/24/18,20-148,LAL,@,MEM,W (+7),1,42:12:00,5,13,0.385,1,6,0.167,1,4,0.25,3,5,8,10,1,0,2,3,12,12.1,1
73,51,3/26/18,20-150,LAL,@,DET,L (-6),1,43:00:00,7,8,0.875,1,1,1,0,0,,1,7,8,11,2,0,2,4,15,21.1,-4
74,52,3/28/18,20-152,LAL,,DAL,W (+10),1,24:05:00,3,7,0.429,1,3,0.333,1,2,0.5,3,1,4,5,0,0,1,1,8,8.4,-11
75,,3/30/18,20-154,LAL,,MIL,L (-2),Did Not Dress,,,,,,,,,,,,,,,,,,,,,
76,,4/1/18,20-156,LAL,,SAC,L (-1),Did Not Dress,,,,,,,,,,,,,,,,,,,,,
77,,4/3/18,20-158,LAL,@,UTA,L (-7),Did Not Dress,,,,,,,,,,,,,,,,,,,,,
78,,4/4/18,20-159,LAL,,SAS,W (+10),Inactive,,,,,,,,,,,,,,,,,,,,,
79,,4/6/18,20-161,LAL,,MIN,L (-17),Inactive,,,,,,,,,,,,,,,,,,,,,
80,,4/8/18,20-163,LAL,,UTA,L (-15),Did Not Dress,,,,,,,,,,,,,,,,,,,,,
81,,4/10/18,20-165,LAL,,HOU,L (-6),Inactive,,,,,,,,,,,,,,,,,,,,,
82,,4/11/18,20-166,LAL,@,LAC,W (+15),Inactive,,,,,,,,,,,,,,,,,,,,,
